,出口：日本
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422501 (SJFH)
SR码,SR520887
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
10/2009,1708.7
11/2009,1544
12/2009,1700.1
01/2010,1678.1
02/2010,1512.2
03/2010,1953
04/2010,1818.6
05/2010,1969.3
06/2010,2038.8
07/2010,1858.7
08/2010,1763
09/2010,1915.8
10/2010,2037.8
11/2010,1775.3
12/2010,2011.5
01/2011,1768.8
02/2011,1547.4
03/2011,1863.7
04/2011,1846.2
05/2011,1930.2
06/2011,1901.2
07/2011,1878.9
08/2011,1795.2
09/2011,2057.1
10/2011,2149.5
11/2011,2090.5
12/2011,2266.3
01/2012,1835
02/2012,1969
03/2012,1995.1
04/2012,1812.6
05/2012,1887.6
06/2012,1982.5
07/2012,1831.5
08/2012,1861.6
09/2012,1932.2
10/2012,1891.3
11/2012,1861.7
12/2012,1735.6
01/2013,1761.3
02/2013,1600.9
03/2013,1885.9
04/2013,1879.6
05/2013,1828.5
06/2013,1642.1
07/2013,1927.1
08/2013,1871.1
09/2013,1905
10/2013,2025.7
11/2013,1900.1
12/2013,1770.6
01/2014,1947.7
02/2014,1815.6
03/2014,2069.2
04/2014,2008
05/2014,1696.4
06/2014,1622.4
07/2014,1628.1
08/2014,1679.5
09/2014,1567.7
10/2014,1888
11/2014,1641.3
12/2014,1643.6
01/2015,1835.9
02/2015,1531.9
03/2015,1855.3
04/2015,1700
05/2015,1517.8
06/2015,1767.9
07/2015,1683
08/2015,1723.6
09/2015,1760.2
10/2015,2073.3
11/2015,1666.1
12/2015,1890.2
01/2016,1572.2
02/2016,1525.3
03/2016,1923.1
04/2016,1702.3
05/2016,1490.8
06/2016,1697.7
07/2016,1626.4
08/2016,1534.9
09/2016,1782.3
10/2016,1721.2
11/2016,1721.4
12/2016,1813.4
01/2017,1833.5
02/2017,1826.4
03/2017,2004.1
04/2017,1771.6
05/2017,1917
06/2017,2096.8
07/2017,2010.1
08/2017,2040.6
09/2017,1969.2
10/2017,2069.8
11/2017,2033.2
12/2017,1961.8
01/2018,2179
02/2018,2049.4
03/2018,2317.6
04/2018,2037.4
05/2018,2063.8
06/2018,2189.9
07/2018,2575
08/2018,2354.9
09/2018,2262.6
10/2018,2475
11/2018,2421.6
12/2018,2055
01/2019,2181.6
02/2019,1714.2
03/2019,2034.1
04/2019,1855.6
05/2019,1863.1
06/2019,1985.4
07/2019,2169.2
08/2019,1853.5
09/2019,2100.5
10/2019,2270
11/2019,2012.5
12/2019,2015.9
01/2020,2155.3
02/2020,1980.3
03/2020,2246.8
04/2020,2314.4
05/2020,1949.9
06/2020,2220
07/2020,2098.4
08/2020,1744.1
09/2020,1946.6
10/2020,2045.9
11/2020,1968.6
12/2020,1975
01/2021,1777.8
02/2021,1752.7
03/2021,2045.4
04/2021,1965.3
05/2021,1855.4
06/2021,1919.7
07/2021,2207.9
08/2021,2156.6
09/2021,2144.3
10/2021,2144.3
11/2021,2207.1
12/2021,2462
01/2022,2225.7
02/2022,2195.4
03/2022,2673.3
04/2022,2464.5
05/2022,2329.5
06/2022,2472.9
07/2022,2327.1
08/2022,2311.8
09/2022,2481.4
10/2022,2406.7
11/2022,2504.5
12/2022,2271.6
01/2023,2126.1
02/2023,2221.3
03/2023,2358.7
04/2023,1855.8
05/2023,2089.8
06/2023,1902.7
07/2023,2116.3
08/2023,2156.8
09/2023,2137.9
10/2023,2564.3
11/2023,2339.1
12/2023,2112.7
01/2024,1937.7
02/2024,1734.9
03/2024,1763.6
04/2024,1819
05/2024,1887.7
06/2024,1955.1
07/2024,2084.9
08/2024,2153.7
09/2024,2027.7
10/2024,2101.9
11/2024,2032.1
12/2024,2208.6
01/2025,2127.5
02/2025,1799.4
03/2025,1904
04/2025,1919
05/2025,1975.1
06/2025,1860.2
07/2025,1906.9
08/2025,1798.8
09/2025,1999
10/2025,2064.6
11/2025,1947.5
12/2025,1847.3
01/2026,2247
