,出口：美国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36423101 (SJFQ)
SR码,SR520859
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
02/2022,4036.7
03/2022,6504.5
04/2022,5451.8
05/2022,4487.6
06/2022,5413.6
07/2022,4854.9
08/2022,6094.4
09/2022,5278.5
10/2022,5070.8
11/2022,4787.4
12/2022,4671.2
01/2023,4251.5
02/2023,4523
03/2023,6676
04/2023,5695.5
05/2023,4336.1
06/2023,4897
07/2023,5293.8
08/2023,4375.1
09/2023,4784.5
10/2023,4418.5
11/2023,5406.2
12/2023,4601.4
01/2024,4687.9
02/2024,4630.3
03/2024,4376.3
04/2024,4014.4
05/2024,4848.9
06/2024,4105.2
07/2024,6320.2
08/2024,4679.9
09/2024,4603.2
10/2024,4671
11/2024,5190.8
12/2024,5493
01/2025,5813.5
02/2025,5228.4
03/2025,6164.2
04/2025,5939.5
05/2025,5868
06/2025,4988.4
07/2025,5810.4
08/2025,4285.3
09/2025,5173.9
10/2025,5624.8
11/2025,7839.8
12/2025,6552.4
01/2026,5856.3
