,出口：墨西哥
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36424201 (SJFSE)
SR码,SR520858
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
01/2019,149.6
02/2019,108.9
03/2019,152.2
04/2019,171.1
05/2019,180.1
06/2019,177.2
07/2019,181.9
08/2019,176.9
09/2019,165.8
10/2019,185.1
11/2019,150.5
12/2019,132.5
01/2020,133.2
02/2020,142.2
03/2020,209.1
04/2020,164.6
05/2020,109
06/2020,125.6
07/2020,165.6
08/2020,148
09/2020,147
10/2020,162.3
11/2020,120
12/2020,142.1
01/2021,131.4
02/2021,111
03/2021,165.5
04/2021,159.7
05/2021,144.8
06/2021,160.1
07/2021,209.9
08/2021,233.4
09/2021,218.6
10/2021,208.6
11/2021,191.2
12/2021,249.2
01/2022,212.6
02/2022,200.5
03/2022,225.6
04/2022,221.7
05/2022,233.5
06/2022,277.7
07/2022,374.2
08/2022,258.4
09/2022,231.4
10/2022,282.6
11/2022,277.1
12/2022,224.9
01/2023,214.3
02/2023,261.2
03/2023,299.7
04/2023,319.9
05/2023,410.6
06/2023,239.9
07/2023,404.9
08/2023,520.7
09/2023,463.3
10/2023,212.8
11/2023,168.9
12/2023,282.8
01/2024,159.7
02/2024,284.1
03/2024,273.1
04/2024,428.8
05/2024,384.7
06/2024,490.8
07/2024,669.5
08/2024,827
09/2024,609.5
10/2024,608
11/2024,277
12/2024,902.1
01/2025,208.5
02/2025,743.3
03/2025,663.3
04/2025,1415.9
05/2025,787.1
06/2025,1816.2
07/2025,1066.1
08/2025,845.9
09/2025,599.4
10/2025,988.1
11/2025,425
12/2025,329.4
01/2026,2358.1
