,出口：泰国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422201 (SJFE)
SR码,SR520895
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
08/2010,1476.4
09/2010,1378.3
10/2010,1415.6
11/2010,1435.1
12/2010,1470.6
01/2011,1667.1
02/2011,1306.5
03/2011,1636.7
04/2011,1459.5
05/2011,1501.3
06/2011,1553.3
07/2011,1523.2
08/2011,1523.2
09/2011,1573.4
10/2011,1396.4
11/2011,1332.2
12/2011,1281.8
01/2012,1751.9
02/2012,1751.2
03/2012,1678
04/2012,1597.2
05/2012,1770.2
06/2012,1614.5
07/2012,1854
08/2012,1576.5
09/2012,1574.5
10/2012,1647.6
11/2012,1551.5
12/2012,1643
01/2013,1671.5
02/2013,1337.4
03/2013,1560.6
04/2013,1744.4
05/2013,1769.3
06/2013,1610.3
07/2013,1758.8
08/2013,1743.6
09/2013,1564
10/2013,1690.3
11/2013,1417.1
12/2013,1363.2
01/2014,1598.8
02/2014,1444.7
03/2014,1629.3
04/2014,1624.5
05/2014,1650.8
06/2014,1593.5
07/2014,1680.6
08/2014,1578.2
09/2014,1956.4
10/2014,1785.9
11/2014,1600.1
12/2014,1524.8
01/2015,1688.6
02/2015,1551.2
03/2015,1790.1
04/2015,1618.8
05/2015,1538.7
06/2015,1577.4
07/2015,1715.3
08/2015,1440.6
09/2015,1634.3
10/2015,1681.7
11/2015,1516.7
12/2015,1594.2
01/2016,1565.8
02/2016,1397.5
03/2016,1717.9
04/2016,1534.6
05/2016,1546.5
06/2016,1637.1
07/2016,1394.7
08/2016,1471.3
09/2016,1558.9
10/2016,1846.3
11/2016,1583.7
12/2016,1757.1
01/2017,1660.1
02/2017,1580.1
03/2017,1975.2
04/2017,1584.8
05/2017,1730.8
06/2017,1701.8
07/2017,1948.6
08/2017,1684.8
09/2017,1543.9
10/2017,1653.7
11/2017,1701.1
12/2017,1505.5
01/2018,1728.3
02/2018,1416.8
03/2018,1794.8
04/2018,1709.9
05/2018,1763.4
06/2018,1591.8
07/2018,1837.2
08/2018,1821.4
09/2018,2040.4
10/2018,2054.7
11/2018,1808.5
12/2018,1425.6
01/2019,1726.6
02/2019,1555.9
03/2019,1661.1
04/2019,1627.9
05/2019,1613.4
06/2019,1590
07/2019,1959.4
08/2019,1649.9
09/2019,1826.1
10/2019,2011.6
11/2019,2094.1
12/2019,1630.9
01/2020,1689.7
02/2020,1703.6
03/2020,2504.5
04/2020,1408.7
05/2020,1215.7
06/2020,1309.2
07/2020,1452.4
08/2020,1573.9
09/2020,1592.5
10/2020,1722.2
11/2020,1708.7
12/2020,1582.6
01/2021,1906
02/2021,1410.1
03/2021,1841
04/2021,1691.1
05/2021,1660.8
06/2021,1782.4
07/2021,1710.3
08/2021,1907.1
09/2021,1727.7
10/2021,1629.9
11/2021,1714.9
12/2021,1988.8
01/2022,2225.1
02/2022,1645.4
03/2022,1997.5
04/2022,2071.3
05/2022,2033.1
06/2022,1931.6
07/2022,2197.4
08/2022,2254.9
09/2022,2241.1
10/2022,1965.6
11/2022,1762.6
12/2022,1790.4
01/2023,2311.3
02/2023,1813.8
03/2023,2101.7
04/2023,1871.9
05/2023,2168.5
06/2023,1762.1
07/2023,2229
08/2023,2460.8
09/2023,2129.8
10/2023,2435.6
11/2023,2372
12/2023,1991.4
01/2024,2916.2
02/2024,2256.9
03/2024,2652.6
04/2024,2801.7
05/2024,2602.6
06/2024,2442
07/2024,3024.6
08/2024,2197
09/2024,2101.1
10/2024,2396.5
11/2024,1801.5
12/2024,2105.3
01/2025,2057.7
02/2025,2306.6
03/2025,2042
04/2025,3114.7
05/2025,2125.3
06/2025,1826.7
07/2025,2994.6
08/2025,3271.5
09/2025,4335.2
10/2025,3570
11/2025,4520.1
12/2025,2725.9
01/2026,6171.1
