,进口：德国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416001 (SJCB)
SR码,SR739116
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
01/2016,897.5
02/2016,929.7
03/2016,1105.3
04/2016,1013.9
05/2016,1014.7
06/2016,1040.9
07/2016,1023.4
08/2016,1069.6
09/2016,900.2
10/2016,983.1
11/2016,1054.2
12/2016,1021.9
01/2017,923.3
02/2017,984.6
03/2017,1066.1
04/2017,1126.5
05/2017,1192.5
06/2017,1093.2
07/2017,1051
08/2017,1179.5
09/2017,1055.4
10/2017,1167.7
11/2017,1136
12/2017,1117.2
01/2018,1152.6
02/2018,963.9
03/2018,1182.3
04/2018,1117.4
05/2018,1125
06/2018,1063.3
07/2018,1175.8
08/2018,1198.1
09/2018,1171.8
10/2018,1222
11/2018,1144.1
12/2018,1141.4
01/2019,1102.6
02/2019,1042.8
03/2019,1235.6
04/2019,1238.4
05/2019,1201.6
06/2019,1016.8
07/2019,1194.5
08/2019,1141.9
09/2019,1084.8
10/2019,1090.6
11/2019,1076
12/2019,1090.8
01/2020,1127.3
02/2020,1003.4
03/2020,1115
04/2020,1160.8
05/2020,892.2
06/2020,978.8
07/2020,1061.1
08/2020,931.9
09/2020,972.4
10/2020,980.9
11/2020,978.2
12/2020,980.3
01/2021,947.5
02/2021,916.7
03/2021,1124.8
04/2021,1102
05/2021,1432.5
06/2021,1142.9
07/2021,1185.9
08/2021,1147.5
09/2021,1290.5
10/2021,1103
11/2021,1094.9
12/2021,1329.6
01/2022,1038.8
02/2022,1074.2
03/2022,1259.7
04/2022,1282.3
05/2022,1095.5
06/2022,1108.9
07/2022,1207.4
08/2022,1135.2
09/2022,1170.5
10/2022,1122.3
11/2022,1107.6
12/2022,1129.5
01/2023,963.4
02/2023,1096.2
03/2023,1318.2
04/2023,1225.8
05/2023,1144.7
06/2023,1090.7
07/2023,1178.1
08/2023,1143.1
09/2023,1114
10/2023,1116.3
11/2023,1084.8
12/2023,1034
01/2024,1034.4
02/2024,967.5
03/2024,1115.9
04/2024,1063.1
05/2024,1138.3
06/2024,1049.9
07/2024,1169.1
08/2024,1163.3
09/2024,1081.3
10/2024,1103.5
11/2024,1070.4
12/2024,1108.3
01/2025,902.9
02/2025,901.5
03/2025,1120.3
04/2025,1136.6
05/2025,1102.1
06/2025,1035.2
07/2025,1136.4
08/2025,1104.6
09/2025,1096.9
10/2025,1330.1
11/2025,1062.1
12/2025,1283.6
01/2026,1117.3
