,进口：法国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36415901 (SJCA)
SR码,SR739115
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
03/2021,1906.8
04/2021,1150.4
05/2021,1239
06/2021,1453.4
07/2021,1279.4
08/2021,1035.9
09/2021,1432.7
10/2021,1248.4
11/2021,1259.2
12/2021,1449.2
01/2022,1426.7
02/2022,1074.7
03/2022,1289.7
04/2022,1553.6
05/2022,1365.4
06/2022,1535.9
07/2022,1555.5
08/2022,1624.6
09/2022,1660.6
10/2022,1493.2
11/2022,1563.1
12/2022,1537.3
01/2023,1608.5
02/2023,1445.2
03/2023,1896.3
04/2023,1317
05/2023,1620.2
06/2023,1590.6
07/2023,1731.2
08/2023,1417.3
09/2023,1356.3
10/2023,1503.7
11/2023,1578.5
12/2023,1431.7
01/2024,1501.3
02/2024,1629.5
03/2024,1363.2
04/2024,1510.9
05/2024,1441.8
06/2024,1327
07/2024,1646.6
08/2024,1293.5
09/2024,1325.7
10/2024,1393.9
11/2024,1549.4
12/2024,1355.9
01/2025,1248.7
02/2025,1102.6
03/2025,1738.3
04/2025,1396.9
05/2025,1466.1
06/2025,1302.7
07/2025,1565.2
08/2025,1398.8
09/2025,1493.1
10/2025,1552
11/2025,1421.1
12/2025,1788.1
01/2026,1621.8
